Date,Adj Close,Close,High,Low,Open,Volume
2003-07-09 00:00:00+00:00,141.2733765,164.3000031,170.3999939,155,164.8999939,35164284
2003-07-10 00:00:00+00:00,143.5949402,167,168.6999969,164.5,167,10464179
2003-07-11 00:00:00+00:00,149.0550079,173.3500061,174.8500061,166.25,167.75,11740117
2003-07-14 00:00:00+00:00,153.0102844,177.9499969,179.25,174.25,174.25,5982324
2003-07-15 00:00:00+00:00,151.5055695,176.1999969,200,173,200,6173689
2003-07-16 00:00:00+00:00,152.2794342,177.1000061,179.1000061,175.3500061,176.4499969,3759085
2003-07-17 00:00:00+00:00,148.0661316,172.1999969,178,170.6499939,177.5,3814181
2003-07-18 00:00:00+00:00,143.9389038,167.3999939,171.8999939,160,165,5375212
2003-07-21 00:00:00+00:00,141.7892303,164.8999939,169.3999939,163.0500031,169,3315845
2003-07-22 00:00:00+00:00,143.8099518,167.25,169.1499939,162.1000061,164,4627992
2003-07-23 00:00:00+00:00,150.2157745,174.6999969,178,169.8000031,170.5,13262249
2003-07-24 00:00:00+00:00,149.6999359,174.1000061,177,172.8500061,175.8999939,4305936
2003-07-25 00:00:00+00:00,149.312973,173.6499939,175,172.1000061,174.3999939,2832967
2003-07-28 00:00:00+00:00,153.7842102,178.8500061,188,175.1000061,188,5415867
2003-07-29 00:00:00+00:00,155.0309601,180.3000031,182.8999939,179.1000061,179.9499969,5229181
2003-07-30 00:00:00+00:00,155.718811,181.1000061,184.75,180.1000061,181.25,4632246
2003-07-31 00:00:00+00:00,155.5038757,180.8500061,183.6499939,179.6499939,181.6999969,3562717
2003-08-01 00:00:00+00:00,160.920929,187.1499939,189,178.75,182,8027285
2003-08-04 00:00:00+00:00,169.9063873,197.6000061,198.5,185,187.8500061,9982429
2003-08-05 00:00:00+00:00,166.46698,193.6000061,203.4499969,192.8500061,199,9651327
2003-08-06 00:00:00+00:00,164.7472534,191.6000061,197.5,189.8500061,191.5,7451054
2003-08-07 00:00:00+00:00,168.0147095,195.3999939,196,192.25,193.5,3223676
2003-08-08 00:00:00+00:00,169.5194092,197.1499939,198.8999939,196,197,2530289
2003-08-11 00:00:00+00:00,173.8616486,202.1999969,203.8000031,196,198.1000061,5651311
2003-08-12 00:00:00+00:00,180.9553986,210.4499969,212,203.5,203.8000031,8215213
2003-08-13 00:00:00+00:00,187.2753448,217.8000031,219.5,212,213,7839204
2003-08-14 00:00:00+00:00,186.200531,216.5500031,224.3999939,215,223,6298655
2003-08-15 00:00:00+00:00,186.200531,216.5500031,216.5500031,216.5500031,216.5500031,0
2003-08-18 00:00:00+00:00,186.5014496,216.8999939,221,215.3999939,218.1000061,3382031
2003-08-19 00:00:00+00:00,185.4266205,215.6499939,219.8999939,215,219.8500061,3080091
2003-08-20 00:00:00+00:00,193.4662781,225,226.4499969,217.3000031,217.3999939,6049174
2003-08-21 00:00:00+00:00,196.0028076,227.9499969,228.8999939,223.3000031,227,4012069
2003-08-22 00:00:00+00:00,197.1635895,229.3000031,232.8000031,225.8999939,228.0500031,4436016
2003-08-25 00:00:00+00:00,190.0698547,221.0500031,231.4499969,216.1000061,230,4827198
2003-08-26 00:00:00+00:00,199.8721466,232.4499969,235,217,217,3968069
2003-08-27 00:00:00+00:00,201.4628601,234.3000031,237.6000061,233,235.3999939,2267859
2003-08-28 00:00:00+00:00,196.0887909,228.0500031,235.75,226,235.75,3554363
2003-08-29 00:00:00+00:00,202.4087067,235.3999939,238.5,231.5,232.0500031,3212067
2003-09-01 00:00:00+00:00,202.5376892,235.5500031,237,231.6999969,236.3999939,2478236
2003-09-02 00:00:00+00:00,194.7990417,226.5500031,234.8500061,224.1000061,234.8500061,3975812
2003-09-03 00:00:00+00:00,191.5745544,222.8000031,231.75,221,227.1000061,3945233
2003-09-04 00:00:00+00:00,190.4997864,221.5500031,225.6999969,218.4499969,223,3682478
2003-09-05 00:00:00+00:00,197.1635895,229.3000031,230,222.3999939,223.8999939,2971415
2003-09-08 00:00:00+00:00,196.6907196,228.75,233.8999939,227.1499939,231,1817991
2003-09-09 00:00:00+00:00,196.2177734,228.1999969,235,225.8000031,230,2034401
2003-09-10 00:00:00+00:00,195.8738251,227.8000031,230.3999939,225.8000031,227.75,1476667
2003-09-11 00:00:00+00:00,194.0251465,225.6499939,230.1000061,225,230,1092801
2003-09-12 00:00:00+00:00,189.4679565,220.3500061,228.5,219.1000061,228,2496597
2003-09-15 00:00:00+00:00,179.1497498,208.3500061,221.3500061,207.1000061,219,3469640
2003-09-16 00:00:00+00:00,179.2787018,208.5,210,195.1000061,207,4004037
2003-09-17 00:00:00+00:00,185.7706146,216.0500031,219.5,209.25,212.5,3800473
2003-09-18 00:00:00+00:00,176.7851715,205.6000061,215.8999939,203.3999939,215.8999939,2813556
2003-09-19 00:00:00+00:00,176.9141388,205.75,210.3999939,198.8000031,207,3442717
2003-09-22 00:00:00+00:00,181.1703644,210.6999969,212.8000031,205.75,206,2575343
2003-09-23 00:00:00+00:00,183.2770386,213.1499939,214.3999939,208.1999969,210.3000031,1766451
2003-09-24 00:00:00+00:00,189.1240387,219.9499969,221,213.1000061,216,2133208
2003-09-25 00:00:00+00:00,183.7499542,213.6999969,220.1000061,211.5,220.1000061,1916650
2003-09-26 00:00:00+00:00,184.6957855,214.8000031,217.8500061,213.1000061,214.3999939,2531520
2003-09-29 00:00:00+00:00,195.3579254,227.1999969,229.4499969,215.1499939,216,3711837
2003-09-30 00:00:00+00:00,199.9581451,232.5500031,233.3500061,228,230,3594810
2003-10-01 00:00:00+00:00,196.4327393,228.4499969,233,227.1000061,232,2402620
2003-10-02 00:00:00+00:00,196.4327393,228.4499969,228.4499969,228.4499969,228.4499969,0
2003-10-03 00:00:00+00:00,201.5488586,234.3999939,235,228.8999939,229,2511914
2003-10-06 00:00:00+00:00,207.4818115,241.3000031,242.3500061,235,236.6000061,3094324
2003-10-07 00:00:00+00:00,204.2574005,237.5500031,246.3999939,236.0500031,244,2440562
2003-10-08 00:00:00+00:00,206.5789642,240.25,245,237.1000061,238.75,1859277
2003-10-09 00:00:00+00:00,221.8843079,258.0499878,259.75,240.8500061,240.8500061,6993550
